wn,b_0,b_1,b_2,a_0,a_1,a_2
0.01,0.000241359049041983,0.000482718098083965,0.000241359049041983,1,-1.95557824031504,0.956543676511203
0.02,0.000944691843840155,0.00188938368768031,0.000944691843840155,1,-1.91119706742607,0.914975834801434
0.03,0.00208056713549229,0.00416113427098458,0.00208056713549229,1,-1.86689227971171,0.875214548253684
0.04,0.00362168151492863,0.00724336302985726,0.00362168151492863,1,-1.82269492519631,0.837181651256023
0.05,0.00554271721028068,0.0110854344205614,0.00554271721028068,1,-1.77863177782459,0.800802646665708
0.06,0.00782020803349719,0.0156404160669944,0.00782020803349719,1,-1.73472576880928,0.766006600943264
0.07,0.0104324133710934,0.0208648267421868,0.0104324133710934,1,-1.69099637688744,0.732726030371816
0.08,0.0133592000278565,0.026718400055713,0.0133592000278565,1,-1.64745998107698,0.700896781188403
0.09,0.016581931669303,0.0331638633386061,0.016581931669303,1,-1.60413017927596,0.670457905953174
0.1,0.0200833655642112,0.0401667311284225,0.0200833655642112,1,-1.56101807580072,0.641351538057563
0.11,0.023847556298911,0.047695112597822,0.023847556298911,1,-1.51813254071763,0.613522765913272
0.12,0.027859766117136,0.055719532234272,0.027859766117136,1,-1.47548044359265,0.58691950806119
0.13,0.0321063815305945,0.064212763061189,0.0321063815305945,1,-1.43306686406259,0.561492390184971
0.14,0.036574835843928,0.073149671687856,0.036574835843928,1,-1.39089528142539,0.537194624801102
0.15,0.0412535372417203,0.0825070744834407,0.0412535372417203,1,-1.34896774525279,0.513981894219675
0.16,0.0461318020933129,0.0922636041866259,0.0461318020933129,1,-1.30728502884932,0.491812237222575
0.17,0.0511997931422919,0.102399586284584,0.0511997931422919,1,-1.2658467672146,0.470645939783765
0.18,0.0564484622607365,0.112896924521473,0.0564484622607365,1,-1.2246515810131,0.450445430056041
0.19,0.0618694974629705,0.123738994925941,0.0618694974629705,1,-1.1836971879146,0.431175177766481
0.2,0.0674552738890719,0.134910547778144,0.0674552738890719,1,-1.1429805025399,0.412801598096189
0.21,0.0731988084843433,0.146397616968687,0.0731988084843433,1,-1.1024977261288,0.395292960066177
0.22,0.0790937181169892,0.158187436233978,0.0790937181169892,1,-1.06224442694049,0.378619299408444
0.23,0.0851341808921322,0.170268361784264,0.0851341808921322,1,-1.022215612299,0.362752335867527
0.24,0.091314900435832,0.182629800871664,0.091314900435832,1,-0.982405793108395,0.347665394851723
0.25,0.0976310729378175,0.195262145875635,0.0976310729378175,1,-0.942809041582063,0.333333333333333
0.26,0.104078356756097,0.208156713512194,0.104078356756097,1,-0.903419042858346,0.319732469882734
0.27,0.110652844400412,0.221305688800824,0.110652844400412,1,-0.864229141109199,0.306840518710848
0.28,0.117351036724609,0.234702073449218,0.117351036724609,1,-0.825232380689478,0.294636527587915
0.29,0.124169819170396,0.248339638340792,0.124169819170396,1,-0.786421542821127,0.283100819502711
0.3,0.131106439916626,0.262212879833252,0.131106439916626,1,-0.747789178258503,0.272214937925007
0.31,0.13815848979921,0.276316979598421,0.13815848979921,1,-0.709327636337745,0.261961595534586
0.32,0.145323883877042,0.290647767754085,0.145323883877042,1,-0.671029090774096,0.252324626282266
0.33,0.152600844528892,0.305201689057784,0.152600844528892,1,-0.632885562536109,0.243288940651677
0.34,0.159987885975199,0.319975771950399,0.159987885975199,1,-0.594888940094066,0.234840483994864
0.35,0.167483800127017,0.334967600254034,0.167483800127017,1,-0.557030997311751,0.226966197819818
0.36,0.175087643672101,0.350175287344202,0.175087643672101,1,-0.519303409225291,0.219653983913695
0.37,0.182798726315355,0.365597452630711,0.182798726315355,1,-0.481697765930096,0.212892671191518
0.38,0.190616600097498,0.381233200194995,0.190616600097498,1,-0.444205584776574,0.206671985166564
0.39,0.198541049722007,0.397082099444014,0.198541049722007,1,-0.406818321057193,0.200982519945221
0.4,0.206572083826148,0.413144167652296,0.206572083826148,1,-0.369527377351241,0.195815712655833
0.41,0.214709927137156,0.429419854274313,0.214709927137156,1,-0.332324111679304,0.191163820227929
0.42,0.222955013459576,0.445910026919152,0.222955013459576,1,-0.295199844606734,0.187019898445039
